Title,Review,Sentiment,Score
A Light in the Attic,Absolutely loved it! Highly recommended.,Positive,0.7634
Tipping the Velvet,Absolutely loved it! Highly recommended.,Positive,0.7634
Soumission,Brilliant! Couldn't put it down!,Positive,0.658
Sharp Objects,Brilliant! Couldn't put it down!,Positive,0.658
Sapiens: A Brief History of Humankind,Mediocre and forgettable.,Neutral,0.0
The Requiem Red,Mediocre and forgettable.,Neutral,0.0
The Dirty Little Secrets of Getting Your Dream Job,Brilliant! Couldn't put it down!,Positive,0.658
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Neutral feelings. It was fine.,Positive,0.2023
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Terrible writing and weak characters.,Negative,-0.7184
The Black Maria,Brilliant! Couldn't put it down!,Positive,0.658
"Starving Hearts (Triangular Trade Trilogy, #1)",Fantastic read. Would buy again!,Positive,0.5983
Shakespeare's Sonnets,Mediocre and forgettable.,Neutral,0.0
Set Me Free,Really disappointing. Wouldn’t recommend.,Negative,-0.1851
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Brilliant! Couldn't put it down!,Positive,0.658
Rip it Up and Start Again,Really disappointing. Wouldn’t recommend.,Negative,-0.1851
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Terrible writing and weak characters.,Negative,-0.7184
Olio,Fantastic read. Would buy again!,Positive,0.5983
Mesaerion: The Best Science Fiction Stories 1800-1849,Brilliant! Couldn't put it down!,Positive,0.658
Libertarianism for Beginners,Brilliant! Couldn't put it down!,Positive,0.658
It's Only the Himalayas,Fantastic read. Would buy again!,Positive,0.5983
In Her Wake,"Good book, nice pacing and plot.",Positive,0.6908
How Music Works,"Good book, nice pacing and plot.",Positive,0.6908
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","Good book, nice pacing and plot.",Positive,0.6908
Chase Me (Paris Nights #2),Awful. Waste of time.,Negative,-0.7003
Black Dust,"It was okay, not the best but not the worst.",Positive,0.5729
Birdsong: A Story in Pictures,Fantastic read. Would buy again!,Positive,0.5983
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Absolutely loved it! Highly recommended.,Positive,0.7634
Aladdin and His Wonderful Lamp,"It was okay, not the best but not the worst.",Positive,0.5729
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Absolutely loved it! Highly recommended.,Positive,0.7634
Wall and Piece,Fantastic read. Would buy again!,Positive,0.5983
The Four Agreements: A Practical Guide to Personal Freedom,Mediocre and forgettable.,Neutral,0.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Awful. Waste of time.,Negative,-0.7003
The Elephant Tree,Awful. Waste of time.,Negative,-0.7003
The Bear and the Piano,Absolutely loved it! Highly recommended.,Positive,0.7634
Sophie's World,Awful. Waste of time.,Negative,-0.7003
Penny Maybe,"It was okay, not the best but not the worst.",Positive,0.5729
Maude (1883-1993):She Grew Up with the country,Terrible writing and weak characters.,Negative,-0.7184
"In a Dark, Dark Wood",Really disappointing. Wouldn’t recommend.,Negative,-0.1851
Behind Closed Doors,"It was okay, not the best but not the worst.",Positive,0.5729
You can't bury them all: Poems,Awful. Waste of time.,Negative,-0.7003
